Day,Group,Exercise,Minutes,Calories Burned
2023-05-30,Uncategorized,General Walking,25.0,-108.97
2023-05-31,Uncategorized,Video Yoga,24.0,-35.79
2023-05-31,Uncategorized,Resistance Training,30.0,-86.03
2023-06-01,Uncategorized,Treadmill Walking,60.0,-172.05
2023-06-02,Uncategorized,Video Yoga,24.0,-35.79
2023-06-02,Uncategorized,"Treadmill Walking, Moderate",52.0,-149.1
2023-06-03,Uncategorized,General Walking,24.0,-104.61
2023-06-03,Uncategorized,Resistance Training,30.0,-86.03
2023-06-04,Uncategorized,General Walking,20.0,-87.17
2023-06-06,Uncategorized,Video Yoga,21.0,-31.31
2023-06-06,Uncategorized,General Walking,36.0,-289.05
2023-06-06,Uncategorized,Resistance Training,30.0,-86.03
2023-06-07,Uncategorized,Video Yoga,30.0,-44.73
2023-06-07,Uncategorized,General Walking,20.0,-160.58
2023-06-08,Uncategorized,Running General,48.0,-330.34
2023-06-09,Lunch,Resistance Training,30.0,-86.03
2023-06-10,Uncategorized,General Walking,38.0,-173.65
2023-06-10,Uncategorized,Resistance Training,30.0,-90.19
2023-06-11,Uncategorized,General Walking,23.0,-105.11
2023-06-12,Uncategorized,Resistance Training,30.0,-90.19
2023-06-13,Uncategorized,General Walking,22.0,-100.54
2023-06-14,Uncategorized,Video Yoga,30.0,-44.73
2023-06-14,Uncategorized,General Walking,23.0,-105.11
2023-06-15,Uncategorized,Resistance Training,30.0,-90.19
2023-06-15,Uncategorized,Running General,19.0,-79.97
2023-06-16,Uncategorized,Video Yoga,25.0,-39.08
2023-06-17,Uncategorized,Running General,35.0,-147.32
2023-06-17,Uncategorized,Resistance Training,30.0,-90.19
2023-06-18,Uncategorized,Running General,60.0,-432.93
2023-06-19,Uncategorized,General Walking,24.0,-109.68
2023-06-19,Uncategorized,Resistance Training,30.0,-90.19
2023-06-19,Uncategorized,General Walking,31.5,-143.95
2023-06-20,Uncategorized,Video Yoga,25.0,-39.08
2023-06-21,Uncategorized,General Walking,23.0,-105.11
2023-06-21,Uncategorized,General Walking,25.0,-114.25
2023-06-22,Uncategorized,Resistance Training,30.0,-90.19
2023-06-22,Uncategorized,General Walking,26.0,-118.82
2023-06-22,Uncategorized,General Walking,21.0,-95.97
2023-06-23,Uncategorized,Video Yoga,20.0,-31.27
2023-06-23,Uncategorized,General Walking,23.0,-105.11
2023-06-23,Uncategorized,General Walking,31.0,-141.66
2023-06-25,Uncategorized,Running General,43.0,-310.06
2023-06-25,Uncategorized,Resistance Training,30.0,-90.19
2023-06-26,Uncategorized,General Walking,36.0,-164.41
2023-06-20,Uncategorized,Resistance Training,30.0,-90.19
2023-07-03,Uncategorized,Power Yoga,24.0,-86.53
2023-07-06,Uncategorized,Power Yoga,22.0,-79.32
2023-07-06,Uncategorized,General Walking,22.0,-100.47
2023-07-06,Uncategorized,General Walking,20.0,-91.34
2023-07-07,Uncategorized,Power Yoga,25.0,-90.13
2023-07-07,Uncategorized,General Walking,32.0,-146.14
2023-07-07,Uncategorized,General Walking,34.0,-155.27
2023-07-08,Uncategorized,General Walking,51.0,-232.91
2023-07-09,Uncategorized,Basketball,90.0,-594.89
